Average Board Evaluation,Average Material Threatened,Black,BlackElo,BlackTeam,BlackTeamCountry,Check Count,Date,ECO,Event,EventCategory,EventCountry,EventDate,EventRounds,EventType,FEN,Gambit Count,Move Count,PlyCount,Result,Round,SetUp,Site,Source,SourceDate,White,WhiteElo,WhiteTeam,WhiteTeamCountry,Aggressive
4.551111111,1.888888889,"Anand, Viswanathan",,,,11,1981/12/??,C42,Junior-ch,,IND,1981/12/??,,,,1,45,91,Jan-00,?,,Tamil Nadu,ChessBase,11/26/2011,"Aaron, Arvind",,,,0
4.768965517,2.362068966,"Anand, Viswanathan",,,,0,1982/??/??,B43,District Team Championship T.N.,,IND,1982/??/??,,,,2,58,116,0-1,?,,India,ChessBase,11/26/2011,"Aaron, Manuel",,,,0
9.956,2.88,"Anand, Viswanathan",,,,1,1982/??/??,E87,Junior-ch,,IND,1982/??/??,,,,1,25,50,0-1,?,,Tamil Nadu,ChessBase,11/26/2011,"Sridhar, NR.",,,,0
5.188,1.32,"Siddiqui, MA.",,,,8,1982/01/??,B06,IND-ch Juniors,,IND,1982/01/??,,,,2,25,49,Jan-00,?,,Dharwad,ChessBase,11/26/2011,"Anand, Viswanathan",,,,0
6.069565217,3.217391304,"Shah, SP.",,,,1,1983/10/??,B98,National Subjunior-ch,,IND,1983/10/??,,,,1,23,45,Jan-00,?,,India,ChessBase,11/26/2011,"Anand, Viswanathan",,,,0
7.158823529,2.058823529,"Anand, Viswanathan",,,,1,1983/10/??,A69,National Subjunior-ch,,IND,1983/10/??,,,,0,17,34,0-1,?,,India,ChessBase,11/26/2011,"Roy, Pinaki",,,,0
6.2375,2.3125,"Anand, Viswanathan",2285,,,1,1984/??/??,E84,Asia-ch U20 8th,,IND,1984/??/??,9,swiss,,2,32,64,0-1,?,,Coimbatore,ChessBase,11/25/2007,"Mishra, Neeraj Kumar",,,,0
4.813559322,1.033898305,"Anand, Viswanathan",2285,,,3,1984/??/??,C70,Asia-ch U20 8th,,IND,1984/??/??,9,swiss,,5,59,119,Jan-00,?,,Coimbatore,ChessBase,11/25/2007,"Perera, KV.",,,,0
7.1125,2.84375,"Anand, Viswanathan",2285,,,1,1984/??/??,B85,Asia-ch U20 8th,,IND,1984/??/??,9,swiss,,2,32,64,0-1,?,,Coimbatore,ChessBase,11/25/2007,"Waqar, Mohamed",,,,0
6.959259259,1.740740741,"Koshy, Varugeese",,,,2,1985/??/??,B09,IND-ch,,IND,1984/??/??,,,,1,27,53,Jan-00,?,,Tenali,ChessBase,11/26/2011,"Anand, Viswanathan",,,,0
7.795833333,1.291666667,"Anand, Viswanathan",,,,0,1984/??/??,B40,IND-ch Juniors,,IND,1984/??/??,,,,2,24,48,0-1,?,,Goa,ChessBase,11/26/2011,"Vardhana, TK.",,,,0
7.515625,1.28125,"Matlak, Marek",,,,0,8/3/1984,C06,Wch U20,,FIN,1984/??/??,13,swiss,,1,32,64,1/2-1/2,1,,Kiljava,ChessBase,11/16/1999,"Anand, Viswanathan",2285,,,0
5.688636364,2.704545455,"Anand, Viswanathan",2285,,,3,8/4/1984,E61,Wch U20,,FIN,1984/??/??,13,swiss,,2,44,88,0-1,2,,Kiljava,ChessBase,11/16/1999,"Piket, Jeroen",,,,0
7.328571429,2.142857143,"Souza, Ivan Boere",2210,,,4,8/5/1984,B82,Wch U20,,FIN,1984/??/??,13,swiss,,1,21,41,Jan-00,3,,Kiljava,ChessBase,11/16/1999,"Anand, Viswanathan",2285,,,0
7.294736842,2.368421053,"Hansen, Curt",2485,,,0,8/6/1984,B05,Wch U20,,FIN,1984/??/??,13,swiss,,0,19,38,1/2-1/2,4,,Kiljava,ChessBase,11/16/1999,"Anand, Viswanathan",2285,,,0
8.863636364,1.060606061,"Anand, Viswanathan",2285,,,0,8/7/1984,E69,Wch U20,,FIN,1984/??/??,13,swiss,,1,33,67,Jan-00,5,,Kiljava,ChessBase,11/16/1999,"Saeed, Saeed Ahmed",2390,,,0
7.419444444,0.972222222,"Sandstrom, Ludvig",,,,0,8/9/1984,B66,Wch U20,,FIN,1984/??/??,13,swiss,,2,36,72,0-1,6,,Kiljava,ChessBase,11/16/1999,"Anand, Viswanathan",2285,,,0
7.01875,2.0625,"Anand, Viswanathan",2285,,,2,8/10/1984,E63,Wch U20,,FIN,1984/??/??,13,swiss,,0,32,64,0-1,7,,Kiljava,ChessBase,11/16/1999,"Rechlis, Gad",,,,0
7.359090909,1.5,"Wolff, Patrick G",2225,,,1,8/11/1984,B09,Wch U20,,FIN,1984/??/??,13,swiss,,2,22,44,0-1,8,,Kiljava,ChessBase,11/16/1999,"Anand, Viswanathan",2285,,,0
6.593023256,1.488372093,"Anand, Viswanathan",2285,,,7,8/12/1984,B29,Wch U20,,FIN,1984/??/??,13,swiss,,1,43,86,0-1,9,,Kiljava,ChessBase,11/16/1999,"Galego, Luis",,,,0
